City_ID,City,Country,Lat,Lng,Current Description,Max Temp,Cloudiness,Humidity,Rain (inches),Snow (inches),Wind Speed
0,ushuaia,AR,-54.8,-68.3,broken clouds,28.4,75,92,0.0,0,4.7
1,cabo san lucas,MX,22.89,-109.91,scattered clouds,84.99,40,69,0.0,0,4.7
2,nushki,PK,29.55,66.02,clear sky,81.81,0,14,0.0,0,10.58
3,kapaa,US,22.08,-159.32,clear sky,86.0,1,62,0.0,0,13.87
4,rikitea,PF,-23.12,-134.97,clear sky,70.56,0,70,0.0,0,21.09
5,albany,US,42.6,-73.97,light rain,75.0,78,88,0.23,0,2.8
6,san policarpo,PH,12.18,125.51,scattered clouds,84.61,31,70,0.0,0,2.19
7,busselton,AU,-33.65,115.33,clear sky,44.01,0,87,0.0,0,9.42
8,luanda,AO,-8.84,13.23,few clouds,71.6,16,88,0.0,0,8.05
9,tete,MZ,-16.16,33.59,clear sky,57.2,0,82,0.0,0,3.02
10,codrington,AU,-38.27,141.97,moderate rain,47.88,100,88,1.16,0,18.21
11,eyl,SO,7.98,49.82,scattered clouds,80.8,42,52,0.0,0,28.83
12,mataura,NZ,-46.19,168.86,scattered clouds,39.0,28,83,0.0,0,3.0
13,jamestown,US,42.1,-79.24,clear sky,80.6,1,54,0.0,0,10.29
14,mahenge,TZ,-8.68,36.72,scattered clouds,56.77,42,71,0.0,0,1.88
15,lata,PT,40.16,-8.33,clear sky,61.0,0,81,0.0,0,3.0
16,thinadhoo,MV,0.53,72.93,overcast clouds,84.16,95,64,0.0,0,2.26
17,pouembout,NC,-21.13,164.9,broken clouds,72.46,76,50,0.0,0,7.11
18,whitehorse,CA,60.72,-135.05,few clouds,68.0,20,20,0.0,0,8.05
19,punta arenas,CL,-53.15,-70.92,light rain,33.8,100,94,0.0,0,5.82
20,cherskiy,RU,68.75,161.3,light rain,42.24,100,91,0.36,0,0.27
21,vaini,TO,-21.2,-175.2,scattered clouds,73.4,40,60,0.0,0,10.29
22,saskylakh,RU,71.92,114.08,broken clouds,55.51,54,59,0.0,0,13.27
23,victoria,HK,22.29,114.16,light rain,84.99,100,79,0.41,0,7.58
24,yellowknife,CA,62.46,-114.35,broken clouds,64.99,75,72,0.0,0,10.29
25,maragogi,BR,-9.01,-35.22,clear sky,74.88,1,84,0.0,0,6.22
26,alofi,NU,-19.06,-169.92,light intensity drizzle,75.2,90,94,0.0,0,14.99
27,labuhan,ID,-6.88,112.21,overcast clouds,76.89,96,83,0.0,0,5.28
28,butaritari,KI,3.07,172.79,scattered clouds,81.59,47,75,0.0,0,7.29
29,port blair,IN,11.67,92.75,overcast clouds,83.03,100,79,0.0,0,15.01
30,mandera,KE,3.94,41.87,broken clouds,77.34,60,55,0.0,0,17.16
31,ribeira grande,PT,38.52,-28.7,clear sky,67.42,0,79,0.0,0,7.02
32,christchurch,NZ,-43.53,172.63,clear sky,44.6,0,81,0.0,0,3.02
33,nikolskoye,RU,59.7,30.79,scattered clouds,60.8,40,87,0.0,0,6.71
34,plettenberg bay,ZA,-34.05,23.37,light rain,58.3,37,75,0.11,0,9.51
35,tiarei,PF,-17.53,-149.33,scattered clouds,84.2,40,70,0.0,0,19.46
36,isangel,VU,-19.55,169.27,broken clouds,75.2,75,53,0.0,0,9.17
37,antalaha,MG,-14.9,50.28,scattered clouds,67.73,43,84,0.0,0,9.42
38,tsumeb,NA,-19.23,17.72,clear sky,53.06,0,42,0.0,0,11.1
39,rocha,UY,-34.48,-54.33,scattered clouds,40.95,40,87,0.0,0,6.91
40,port macquarie,AU,-31.43,152.92,clear sky,61.0,0,80,0.0,0,4.97
41,bilibino,RU,68.05,166.44,light rain,44.76,98,70,0.12,0,3.0
42,carnarvon,AU,-24.87,113.63,clear sky,60.8,0,55,0.0,0,10.29
43,shambu,ET,9.57,37.1,light rain,51.73,100,100,0.15,0,2.37
44,lethem,GY,3.38,-59.8,broken clouds,78.75,57,79,0.0,0,6.11
45,port elizabeth,ZA,-33.92,25.57,few clouds,60.8,20,67,0.0,0,14.99
46,qaanaaq,GL,77.48,-69.36,scattered clouds,42.94,50,64,0.0,0,3.83
47,chapais,CA,49.78,-74.85,clear sky,77.0,1,36,0.0,0,8.05
48,sorland,NO,67.67,12.69,scattered clouds,48.25,35,67,0.0,0,8.25
49,atuona,PF,-9.8,-139.03,light rain,80.8,13,77,0.17,0,26.24
50,sao filipe,CV,14.9,-24.5,broken clouds,75.2,58,83,0.0,0,7.74
51,bluff,NZ,-46.6,168.33,scattered clouds,39.0,29,83,0.0,0,3.0
52,tsogni,GA,-2.79,10.1,broken clouds,70.75,76,94,0.0,0,4.0
53,provideniya,RU,64.38,-173.3,broken clouds,48.2,75,87,0.0,0,13.42
54,jaciara,BR,-15.97,-54.97,scattered clouds,69.08,28,62,0.0,0,3.74
55,marovoay,MG,-16.1,46.63,broken clouds,66.67,61,63,0.0,0,7.81
56,jiwani,PK,25.05,61.74,clear sky,85.33,0,76,0.0,0,1.97
57,chokurdakh,RU,70.63,147.92,overcast clouds,40.23,100,77,0.0,0,17.78
58,dikson,RU,73.51,80.55,few clouds,46.94,14,76,0.0,0,11.65
59,port alfred,ZA,-33.59,26.89,clear sky,62.01,1,73,0.0,0,7.0
60,russell,US,32.35,-85.2,thunderstorm,84.2,1,69,0.0,0,3.36
61,bambous virieux,MU,-20.34,57.76,shower rain,69.8,75,83,0.0,0,13.87
62,florianopolis,BR,-27.61,-48.5,broken clouds,55.99,75,66,0.0,0,11.41
63,upernavik,GL,72.79,-56.15,clear sky,38.64,7,80,0.0,0,9.31
64,groningen,NL,53.25,6.75,few clouds,55.99,18,100,0.0,0,4.7
65,tarata,BO,-17.62,-66.02,scattered clouds,59.0,36,28,0.0,0,3.36
66,te anau,NZ,-45.42,167.72,broken clouds,44.46,60,72,0.0,0,1.59
67,nizhneivkino,RU,58.19,49.52,clear sky,53.58,6,96,0.0,0,4.34
68,tuktoyaktuk,CA,69.45,-133.04,light rain,41.0,90,93,0.0,0,14.99
69,bethel,US,41.37,-73.41,few clouds,81.0,18,69,0.0,0,7.85
70,poum,NC,-20.23,164.02,scattered clouds,70.25,38,67,0.0,0,11.86
71,iqaluit,CA,63.75,-68.51,broken clouds,44.6,75,81,0.0,0,5.82
72,zapolyarnyy,RU,69.42,30.81,few clouds,46.4,19,70,0.0,0,11.41
73,monte patria,CL,-30.69,-70.95,clear sky,62.26,2,52,0.0,0,1.68
74,garza garcia,MX,25.67,-100.4,broken clouds,93.2,75,38,0.0,0,10.29
75,honjo,JP,36.23,139.18,overcast clouds,81.0,100,78,0.0,0,1.99
76,nhamunda,BR,-2.19,-56.71,overcast clouds,76.17,95,91,0.0,0,0.56
77,tucurui,BR,-3.77,-49.67,scattered clouds,77.9,36,74,0.0,0,0.92
78,belyy yar,RU,53.6,91.39,light rain,64.4,97,93,0.29,0,6.71
79,georgetown,MY,5.41,100.34,few clouds,82.4,20,94,0.0,0,3.76
80,cape town,ZA,-33.93,18.42,mist,53.01,20,93,0.0,0,1.12
81,barrow,US,71.29,-156.79,clear sky,46.4,1,70,0.0,0,16.11
82,sao joao batista,BR,-27.28,-48.85,few clouds,59.0,20,67,0.0,0,6.93
83,longyearbyen,SJ,78.22,15.64,scattered clouds,44.6,40,70,0.0,0,12.75
84,laguna,US,38.42,-121.42,clear sky,88.0,1,22,0.0,0,11.41
85,lobau,DE,51.1,14.67,light rain,61.0,60,92,0.61,0,1.01
86,susangerd,IR,31.56,48.18,clear sky,87.8,0,29,0.0,0,2.24
87,sitka,US,57.05,-135.33,scattered clouds,78.8,40,26,0.0,0,6.93
88,hobart,AU,-42.88,147.33,scattered clouds,46.99,40,70,0.0,0,12.75
89,ahipara,NZ,-35.17,173.17,clear sky,57.34,3,56,0.0,0,6.6
90,leningradskiy,RU,69.38,178.42,overcast clouds,45.77,98,75,0.0,0,9.64
91,guayaramerin,BO,-10.84,-65.36,overcast clouds,74.12,95,75,0.0,0,0.67
92,neiafu,TO,-18.65,-173.98,broken clouds,77.0,75,83,0.0,0,9.17
93,torbay,CA,47.67,-52.73,light rain,52.0,90,100,0.25,0,9.17
94,deputatskiy,RU,69.3,139.9,overcast clouds,47.03,98,61,0.0,0,16.13
95,kasamwa,TZ,-2.85,32.43,scattered clouds,66.47,34,52,0.0,0,3.38
96,lorengau,PG,-2.02,147.27,light rain,83.14,2,77,0.55,0,10.8
97,sobolevo,RU,54.43,31.9,broken clouds,62.82,77,95,0.0,0,5.53
98,puerto ayora,EC,-0.74,-90.35,broken clouds,71.01,57,89,0.0,0,1.99
99,daru,PG,-9.08,143.21,overcast clouds,78.51,99,78,0.0,0,18.92
100,hermanus,ZA,-34.42,19.23,broken clouds,54.0,64,91,0.0,0,5.86
101,avarua,CK,-21.21,-159.78,broken clouds,80.6,64,78,0.0,0,5.82
102,chumikan,RU,54.72,135.31,scattered clouds,69.24,38,55,0.0,0,19.37
103,vanimo,PG,-2.67,141.3,few clouds,84.52,24,64,0.0,0,7.38
104,fortuna,US,40.6,-124.16,few clouds,66.0,20,72,0.0,0,16.11
105,kodiak,US,57.79,-152.41,clear sky,66.2,1,52,0.0,0,5.82
106,ilulissat,GL,69.22,-51.1,few clouds,48.2,20,66,0.0,0,6.93
107,east london,ZA,-33.02,27.91,clear sky,63.27,2,65,0.0,0,17.85
108,virginia beach,US,36.85,-75.98,few clouds,84.99,20,51,0.0,0,5.82
109,saint-philippe,RE,-21.36,55.77,light rain,68.0,86,77,0.21,0,5.82
110,kalevala,RU,65.2,31.17,clear sky,45.61,1,67,0.0,0,1.52
111,morant bay,JM,17.88,-76.41,scattered clouds,87.8,40,70,0.0,0,23.04
112,aklavik,CA,68.22,-135.01,shower rain,48.2,90,70,0.0,0,12.75
113,rauma,FI,61.13,21.51,shower rain,55.4,20,93,0.0,0,5.82
114,sao joao da barra,BR,-21.64,-41.05,light rain,68.52,99,76,0.12,0,5.41
115,dawlatabad,AF,36.41,64.91,clear sky,68.83,0,23,0.0,0,3.94
116,hilo,US,19.73,-155.09,clear sky,84.2,1,58,0.0,0,10.29
117,palaikastron,GR,35.2,26.25,clear sky,79.0,0,52,0.0,0,10.0
118,port-gentil,GA,-0.72,8.78,scattered clouds,75.2,40,94,0.0,0,9.17
119,castro,BR,-24.79,-50.01,few clouds,43.92,21,79,0.0,0,0.78
120,bredasdorp,ZA,-34.53,20.04,scattered clouds,53.6,27,87,0.0,0,5.82
121,biak,ID,-0.91,122.88,light rain,77.11,98,84,0.2,0,8.46
122,hualmay,PE,-11.1,-77.61,scattered clouds,60.46,34,85,0.0,0,8.52
123,isugod,PH,9.34,118.12,overcast clouds,82.26,100,74,0.0,0,3.2
124,hithadhoo,MV,-0.6,73.08,overcast clouds,84.13,99,65,0.0,0,3.06
125,lasa,IT,46.62,10.7,moderate rain,59.0,75,100,0.0,0,4.7
126,boa vista,BR,2.82,-60.67,few clouds,87.8,20,55,0.0,0,5.82
127,sungairaya,ID,0.7,108.9,scattered clouds,77.04,42,84,0.0,0,7.38
128,knevichi,RU,43.4,132.18,scattered clouds,64.4,40,88,0.0,0,3.94
129,hofn,IS,64.25,-15.21,broken clouds,45.86,52,75,0.0,0,3.74
130,ljungby,SE,56.83,13.94,scattered clouds,50.0,30,87,0.0,0,4.7
131,khartoum,SD,15.55,32.53,broken clouds,91.4,80,38,0.0,0,17.22
132,san pedro,PH,14.35,121.02,broken clouds,86.0,77,74,0.0,0,4.0
133,hobyo,SO,5.35,48.53,overcast clouds,77.76,85,73,0.0,0,22.93
134,udachnyy,RU,66.42,112.4,overcast clouds,50.0,90,76,0.0,0,8.95
135,ostersund,SE,63.18,14.64,broken clouds,41.0,67,93,0.0,0,2.24
136,souris,CA,49.62,-100.26,broken clouds,84.2,75,54,0.0,0,11.41
137,puro,PH,12.48,123.38,light rain,83.77,37,74,0.12,0,5.7
138,siavonga,ZM,-16.54,28.71,clear sky,60.19,0,67,0.0,0,3.44
139,ambilobe,MG,-13.2,49.05,scattered clouds,65.19,46,77,0.0,0,3.22
140,puerto del rosario,ES,28.5,-13.86,few clouds,71.6,18,78,0.0,0,16.11
141,kurchum,KZ,48.57,83.65,scattered clouds,69.31,40,45,0.0,0,3.29
142,bondo,CD,3.81,23.69,light rain,68.4,84,93,0.12,0,1.39
143,normandin,CA,48.83,-72.53,few clouds,75.2,20,69,0.0,0,5.82
144,antigonish,CA,45.62,-62.0,clear sky,66.99,10,90,0.0,0,1.01
145,norman wells,CA,65.28,-126.83,light rain,53.6,90,76,0.0,0,16.11
146,ostrovnoy,RU,68.05,39.51,scattered clouds,53.29,25,67,0.0,0,13.27
147,hamilton,US,39.18,-84.53,few clouds,87.8,20,43,0.0,0,4.7
148,xuddur,SO,4.12,43.89,scattered clouds,70.47,41,73,0.0,0,19.82
149,kaitangata,NZ,-46.28,169.85,clear sky,39.99,5,81,0.0,0,4.0
150,vila franca do campo,PT,37.72,-25.43,broken clouds,66.2,75,77,0.0,0,2.24
151,banda aceh,ID,5.56,95.32,broken clouds,79.32,68,80,0.0,0,7.92
152,ust-koksa,RU,50.27,85.61,clear sky,56.32,9,72,0.0,0,1.68
153,bubaque,GW,11.28,-15.83,light rain,80.38,100,83,0.19,0,9.89
154,winnemucca,US,40.97,-117.74,clear sky,84.2,1,10,0.0,0,4.7
155,cabimas,VE,10.39,-71.44,overcast clouds,83.61,99,70,0.0,0,4.03
156,new norfolk,AU,-42.78,147.06,light rain,45.0,51,87,0.25,0,3.0
157,luderitz,NA,-26.65,15.16,clear sky,55.4,0,71,0.0,0,6.93
158,mogadishu,SO,2.04,45.34,overcast clouds,77.81,99,77,0.0,0,19.3
159,kati,ML,12.74,-8.07,thunderstorm with light rain,73.4,40,83,0.0,0,16.11
160,kununurra,AU,-15.77,128.73,clear sky,69.8,0,46,0.0,0,1.12
161,kavieng,PG,-2.57,150.8,few clouds,83.48,19,69,0.0,0,6.8
162,saint-francois,FR,46.42,3.91,scattered clouds,57.2,31,71,0.0,0,3.38
163,ewa beach,US,21.32,-158.01,scattered clouds,87.8,40,45,0.0,0,10.29
164,garwa,IN,24.18,83.82,overcast clouds,89.51,100,54,0.0,0,3.69
165,qasigiannguit,GL,68.82,-51.19,few clouds,48.2,20,66,0.0,0,6.93
166,orzinuovi,IT,45.4,9.92,moderate rain,66.99,33,85,2.59,0,1.99
167,east greenwich,US,41.66,-71.46,few clouds,82.4,20,65,0.0,0,17.22
168,airai,TL,-8.93,125.41,scattered clouds,62.49,31,75,0.0,0,5.35
169,ayan,RU,56.45,138.17,light rain,56.84,100,80,0.37,0,2.98
170,hami,CN,42.8,93.45,clear sky,81.86,1,16,0.0,0,9.19
171,saint anthony,US,45.02,-93.22,clear sky,91.4,1,41,0.0,0,6.93
172,mehamn,NO,71.04,27.85,light rain,44.74,96,86,0.17,0,21.5
173,namibe,AO,-15.2,12.15,clear sky,68.54,0,59,0.0,0,3.87
174,san quintin,MX,30.48,-115.95,clear sky,70.32,0,63,0.0,0,12.91
175,guerrero negro,MX,27.98,-114.06,clear sky,76.12,0,51,0.0,0,18.21
176,san carlos de bariloche,AR,-41.15,-71.31,broken clouds,41.0,75,75,0.0,0,24.16
177,mount gambier,AU,-37.83,140.77,light intensity shower rain,48.2,90,100,0.0,0,16.11
178,queimadas,BR,-10.98,-39.63,clear sky,69.67,8,73,0.0,0,5.86
179,clyde river,CA,70.47,-68.59,few clouds,51.8,20,66,0.0,0,21.92
180,morros,BR,-9.45,-46.3,broken clouds,75.74,66,43,0.0,0,1.61
181,dwarka,IN,22.24,68.97,few clouds,85.82,11,81,0.0,0,14.29
