City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
15,lata,PT,61.0,40.16,-8.33,Casa Maquia
18,whitehorse,CA,68.0,60.72,-135.05,Westmark Hotel
24,yellowknife,CA,64.99,62.46,-114.35,The Explorer Hotel
31,ribeira grande,PT,67.42,38.52,-28.7,Quinta da Meia Eira
33,nikolskoye,RU,60.8,59.7,30.79,Tourist House - Sablino
37,antalaha,MG,67.73,-14.9,50.28,Hotel Vitasoa
40,port macquarie,AU,61.0,-31.43,152.92,Rydges Port Macquarie
42,carnarvon,AU,60.8,-24.87,113.63,Hospitality Carnarvon
45,port elizabeth,ZA,60.8,-33.92,25.57,39 On Nile Guest House
54,jaciara,BR,69.08,-15.97,-54.97,Taba Hotel
55,marovoay,MG,66.67,-16.1,46.63,
59,port alfred,ZA,62.01,-33.59,26.89,The Halyards Hotel
61,bambous virieux,MU,69.8,-20.34,57.76,Casa Tia Villa
73,monte patria,CL,62.26,-30.69,-70.95,Hotel Monte Cordillera
95,kasamwa,TZ,66.47,-2.85,32.43,
97,sobolevo,RU,62.82,54.43,31.9,
102,chumikan,RU,69.24,54.72,135.31,Fortuna
104,fortuna,US,66.0,40.6,-124.16,Super 8 by Wyndham Fortuna
105,kodiak,US,66.2,57.79,-152.41,Best Western Kodiak Inn and Convention Center
107,east london,ZA,63.27,-33.02,27.91,Tu Casa
115,dawlatabad,AF,68.83,36.41,64.91,WASIM ASGAR KHAN
122,hualmay,PE,60.46,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
128,knevichi,RU,64.4,43.4,132.18,Kedr House Vladivostok
138,siavonga,ZM,60.19,-16.54,28.71,Lavongora Waterfront Lodge
139,ambilobe,MG,65.19,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
141,kurchum,KZ,69.31,48.57,83.65,
144,antigonish,CA,66.99,45.62,-62.0,Claymore Inn and Suites
150,vila franca do campo,PT,66.2,37.72,-25.43,Pestana Bahia Praia
160,kununurra,AU,69.8,-15.77,128.73,Hotel Kununurra
168,airai,TL,62.49,-8.93,125.41,Juvinal Martin
173,namibe,AO,68.54,-15.2,12.15,Hotel Chik Chik Namibe
178,queimadas,BR,69.67,-10.98,-39.63,Hotel Mandala
182,bichura,RU,68.04,50.59,107.6,Gostinitsa Uyut
183,vostok,RU,69.98,46.49,135.88,
191,nizhneudinsk,RU,69.58,54.91,99.03,"Gostinitsa, Sto Magistral'"
199,ghindaresti,RO,69.8,44.65,28.03,Cristina's
202,grande prairie,CA,60.8,55.17,-118.8,Holiday Inn Express Grande Prairie
212,port hardy,CA,64.4,50.7,-127.42,Airport Inn
215,lobito,AO,69.12,-12.35,13.55,Casa Rosa Hotel Residence
222,arraial do cabo,BR,68.0,-22.97,-42.03,Pousada Porto Praia
226,mahebourg,MU,69.8,-20.41,57.7,Shandrani Beachcomber Resort & Spa
228,mitzic,GA,68.04,0.78,11.55,HOTEL NGUE
229,khatanga,RU,61.12,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
236,yei,SS,64.78,4.09,30.68,City Link Hotel
239,gotsu,JP,68.0,35.0,132.22,Super Hotel Gotsu Ekimae
247,lompoc,US,68.0,34.64,-120.46,Holiday Inn Express Lompoc
254,lagoa,PT,66.87,39.05,-27.98,Casa Das Faias
260,bako,ET,61.68,5.78,36.57,Arkisha Sefer
261,anchorage,US,69.8,61.22,-149.9,Hotel Captain Cook
270,vysha,RU,60.37,53.85,42.38,
272,shumyachi,RU,64.2,53.86,32.42,
273,pokrovsk,UA,66.85,48.28,37.18,Druzhba
283,hervey bay,AU,64.99,-25.3,152.85,Shelly Bay Resort
290,batagay,RU,67.69,67.63,134.63,
295,verkhnevilyuysk,RU,65.57,63.45,120.32,Gostinitsa Mila
298,acari,PE,60.96,-15.43,-74.62,Hospedaje Ximens
302,saint-pierre,RE,60.8,-21.34,55.48,Lindsey Hôtel
305,faya,SA,68.0,18.39,42.45,مقبرة ال مجمل
308,asau,RO,66.0,46.43,26.4,Casa Mika Ciobanus
312,souillac,MU,69.8,-20.52,57.52,Bils' Villa
314,ladario,BR,62.01,-19.0,-57.6,Hotel Fazenda 4 cantos
322,paita,PE,64.0,-5.09,-81.11,Hotel Náutico de Paita
328,morro agudo,BR,64.4,-20.73,-48.06,Hotel Morro Agudo
329,nouadhibou,MR,68.0,20.93,-17.03,El Medina
335,kaseda,JP,69.8,31.42,130.32,Sun Stay Kaseda
346,jumla,NP,63.46,29.27,82.18,Hotel Sundar Rara Karnali
348,vao,NC,69.03,-22.67,167.48,Hotel Kou-Bugny
349,aljezur,PT,66.0,37.32,-8.8,Amazigh Hostel
353,gazli,UZ,66.25,40.13,63.45,
356,los algarrobos,PA,68.0,8.5,-82.43,Waterfall Hostel
358,fairbanks,US,66.0,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
362,mocuba,MZ,60.91,-16.84,36.99,Phama Lodge
364,novikovo,RU,64.02,51.15,37.89,
365,quatre cocos,MU,69.8,-20.21,57.76,Veranda Palmar Beach Hotel
368,inhambane,MZ,63.57,-23.86,35.38,Oceano
375,hauterive,FR,62.6,46.09,3.45,Aletti Palace Hotel
378,borogontsy,RU,68.14,62.67,131.17,
384,senneterre,CA,69.8,48.38,-77.23,Motel Senabi
391,rimbey,CA,69.8,52.63,-114.24,Rimbey Ridge Hotel & Suites
394,soe,ID,68.11,-9.86,124.28,Dena Hotel
395,dawson creek,CA,62.6,55.77,-120.24,Peace Villa Motel
412,komsomolskiy,UZ,64.4,40.43,71.72,Ikathouse
414,samokov,BG,61.0,42.33,23.55,The Castle Hotel
417,antsohihy,MG,69.64,-14.88,47.99,Hotel de Ville
420,chernyshevskiy,RU,62.91,63.01,112.47,Chernyseyskiy
425,sangar,RU,64.8,63.92,127.47,
432,toguchin,RU,63.77,55.24,84.39,Stolitsa
433,blackwater,AU,67.68,-23.58,148.88,Blackwater Motor Inn
440,mareeba,AU,70.0,-17.0,145.43,Trinity Plains Tourist Park
443,aksha,RU,69.06,50.28,113.29,
449,klobuck,PL,66.0,50.9,18.94,Restauracja Wenecka. Hotel
452,santa cruz,BO,64.4,-17.8,-63.17,Hotel Cortez
455,ballina,AU,66.0,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
471,pisco,PE,64.4,-13.7,-76.22,Hostal San Isidro Oficial
477,kysyl-syr,RU,65.66,63.9,122.76,
491,verkhoyansk,RU,67.42,67.54,133.38,
507,mount isa,AU,69.8,-20.73,139.5,ibis Styles Mt Isa Verona
516,ivanteyevka,RU,66.0,55.97,37.92,New Slides
522,khromtau,KZ,60.26,50.25,58.43,Придорожный сервис Кең Дала
526,mogok,MM,67.71,22.92,96.5,MOGOK HILL HOTEL
538,busayra,JO,65.52,30.74,35.61,Matan Eco Villege
548,quelimane,MZ,68.0,-17.88,36.89,Hotel Flamingo
